IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
129.154.207.203,443,true,ICN,Asia Pacific,Seoul,109,20.30
103.44.255.81,443,true,HKG,Asia Pacific,Hong Kong,58,18.40
129.154.207.203,443,true,ICN,Asia Pacific,Seoul,106,17.16
103.192.178.12,443,true,HKG,Asia Pacific,Hong Kong,108,14.34
103.192.178.12,443,true,HKG,Asia Pacific,Hong Kong,89,13.98
103.44.255.81,443,true,HKG,Asia Pacific,Hong Kong,95,11.07
154.9.248.216,443,true,LAX,North America,Los Angeles,169,11.04
122.2.198.74,443,true,HKG,Asia Pacific,Hong Kong,171,10.02
103.137.63.3,443,true,KHH,Asia Pacific,Kaohsiung City,134,9.41
103.137.63.2,443,true,KHH,Asia Pacific,Kaohsiung City,96,9.22
